JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
TRAINING,DAY,LYNNTERM,,11.0,0.0,3
TRAINING,DAY,WATERFRONT TRAIN. CNTR,,1.0,0.0,8
WHEAT MACHINE,DAY,ALLIANCE GRAIN,,7.5,0.5,9
WHEAT MACHINE,DAY,CARGILL,,7.5,0.5,6
WHEAT MACHINE,DAY,CASCADIA,,7.5,0.5,15
WHEAT MACHINE,DAY,G3,,7.5,0.5,11
WHEAT MACHINE,DAY,RICHARDSON,,7.5,0.5,33
WHEAT MACHINE,DAY,VITERRA PAC,,7.5,0.5,10
WHEAT MACHINE,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,4
WHEAT MACHINE,GRAVEYARD,G3,,7.5,0.5,3
WHEAT MACHINE,GRAVEYARD,RICHARDSON,,7.5,0.5,8
WHEAT MACHINE,NIGHT,CARGILL,,7.5,0.5,5
WHEAT MACHINE,NIGHT,CASCADIA,,7.5,0.5,7
WHEAT MACHINE,NIGHT,G3,,7.5,0.5,10
WHEAT MACHINE,NIGHT,RICHARDSON,,7.5,0.5,9
WHEAT MACHINE,NIGHT,VITERRA PAC,,7.5,0.5,5
WHEAT SPECIALTY,DAY,ALLIANCE GRAIN,,7.5,0.5,105
WHEAT SPECIALTY,DAY,CARGILL,,7.5,0.5,123
WHEAT SPECIALTY,DAY,CASCADIA,,7.5,0.5,128
WHEAT SPECIALTY,DAY,G3,,7.5,0.5,143
WHEAT SPECIALTY,DAY,RICHARDSON,,7.5,0.5,171
WHEAT SPECIALTY,DAY,VITERRA PAC,,7.5,0.5,82
WHEAT SPECIALTY,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,60
WHEAT SPECIALTY,GRAVEYARD,CARGILL,,7.5,0.5,11
WHEAT SPECIALTY,GRAVEYARD,CASCADIA,,7.5,0.5,56
WHEAT SPECIALTY,GRAVEYARD,G3,,7.5,0.5,48
WHEAT SPECIALTY,GRAVEYARD,RICHARDSON,,7.5,0.5,53
WHEAT SPECIALTY,GRAVEYARD,VITERRA PAC,,7.5,0.5,25
WHEAT SPECIALTY,NIGHT,ALLIANCE GRAIN,,7.5,0.5,45
WHEAT SPECIALTY,NIGHT,CARGILL,,7.5,0.5,56
WHEAT SPECIALTY,NIGHT,CASCADIA,,7.5,0.5,37
WHEAT SPECIALTY,NIGHT,G3,,7.5,0.5,85
WHEAT SPECIALTY,NIGHT,RICHARDSON,,7.5,0.5,100
WHEAT SPECIALTY,NIGHT,VITERRA PAC,,7.5,0.5,38
WINCH DRIVER,DAY,CANADA PLACE,,7.0,1.0,4
